day,month,min,max,date,week_day,sun,clouds,cloud,precipitation,prec_intensity
10,Jan,−9,−4,2022-01-10,Monday,0,4,4,none,0
11,Jan,−20,−8,2022-01-11,Tuesday,0,4,4,none,0
12,Jan,−14,−8,2022-01-12,Wednesday,1,3,3,snow,1
13,Jan,−6,+3,2022-01-13,Thursday,1,3,3,slush,1
14,Jan,−2,+3,2022-01-14,Friday,1,3,3,slush,2
15,Jan,−7,−3,2022-01-15,Saturday,1,3,3,snow,1
16,Jan,−8,0,2022-01-16,Sunday,0,4,4,slush,1
17,Jan,−9,−5,2022-01-17,Monday,0,4,4,snow,1
18,Jan,−12,−10,2022-01-18,Tuesday,1,3,3,none,0
19,Jan,−9,−7,2022-01-19,Wednesday,1,3,3,snow,2
20,Jan,−11,−9,2022-01-20,Thursday,1,3,3,snow,1
21,Jan,−12,−11,2022-01-21,Friday,0,4,4,none,0
22,Jan,−11,−10,2022-01-22,Saturday,1,3,3,none,0
23,Jan,−11,−9,2022-01-23,Sunday,0,4,4,snow,1
24,Jan,−9,−8,2022-01-24,Monday,0,4,4,snow,1
25,Jan,−9,−8,2022-01-25,Tuesday,1,3,3,snow,2
26,Jan,−8,−6,2022-01-26,Wednesday,0,4,4,none,0
27,Jan,−6,−5,2022-01-27,Thursday,0,4,4,snow,1
28,Jan,−6,−5,2022-01-28,Friday,0,4,4,snow,1
29,Jan,−6,−5,2022-01-29,Saturday,0,4,4,none,0
30,Jan,−6,−5,2022-01-30,Sunday,0,4,4,none,0
31,Jan,−8,−6,2022-01-31,Monday,0,4,4,none,0
1,Feb,−8,−6,2022-02-01,Tuesday,0,4,4,snow,1
2,Feb,−5,−4,2022-02-02,Wednesday,0,4,4,snow,2
3,Feb,−7,−5,2022-02-03,Thursday,0,4,4,snow,2
4,Feb,−7,−6,2022-02-04,Friday,0,4,4,snow,1
5,Feb,−7,−5,2022-02-05,Saturday,0,4,4,none,0
6,Feb,−6,−5,2022-02-06,Sunday,1,3,3,none,0
7,Feb,−6,−4,2022-02-07,Monday,0,4,4,snow,1
8,Feb,−5,−4,2022-02-08,Tuesday,0,4,4,snow,1
9,Feb,−5,−4,2022-02-09,Wednesday,0,4,4,snow,2
10,Feb,−4,−3,2022-02-10,Thursday,0,4,4,snow,1
11,Feb,−5,−3,2022-02-11,Friday,0,4,4,snow,1
12,Feb,−4,−3,2022-02-12,Saturday,0,4,4,snow,1
13,Feb,−5,−3,2022-02-13,Sunday,0,4,4,snow,1
14,Feb,−5,−4,2022-02-14,Monday,0,4,4,snow,1
15,Feb,−5,−3,2022-02-15,Tuesday,0,4,4,snow,2
16,Feb,−5,−3,2022-02-16,Wednesday,0,4,4,snow,1
17,Feb,−4,−3,2022-02-17,Thursday,0,4,4,snow,1
18,Feb,−5,−3,2022-02-18,Friday,0,4,4,snow,1
19,Feb,−5,−2,2022-02-19,Saturday,0,4,4,snow,2
20,Feb,−4,−2,2022-02-20,Sunday,0,4,4,snow,1
